MJD/day log[L/ergs−1] log[Teff/K] log[Rph/cm]
60084.70734 43.29±0.10 4.507±0.042 14.206±0.099
60085.70783 43.45±0.04 4.401±0.018 14.498±0.044
60086.67782 43.49±0.06 4.357±0.028 14.603±0.064
60087.67758 43.41±0.04 4.305±0.020 14.673±0.045
60090.65298 43.15±0.01 4.175±0.011 14.802±0.024
60091.62564 43.08±0.02 4.137±0.013 14.838±0.029
60092.71010 43.03±0.01 4.106±0.007 14.876±0.015
60093.74334 42.98±0.01 4.080±0.004 14.901±0.009
60094.71458 42.94±0.01 4.056±0.005 14.931±0.011
60095.68900 42.90±0.01 4.035±0.005 14.955±0.012
60096.69822 42.87±0.01 4.015±0.005 14.979±0.011
60097.67836 42.84±0.01 3.999±0.006 14.996±0.014
60098.59604 42.84±0.01 3.998±0.008 14.997±0.017
60099.68435 42.78±0.01 3.972±0.007 15.023±0.016
60101.61025 42.74±0.01 3.945±0.017 15.052±0.036
60113.66383 42.54±0.06 3.769±0.031 15.306±0.070
60121.66017 42.55±0.11 3.677±0.035 15.496±0.089
60125.60418 42.60±0.12 3.638±0.031 15.597±0.087
60126.59941 42.58±0.13 3.635±0.035 15.595±0.097
60141.55753 42.67±0.14 3.557±0.027 15.797±0.090
60172.56913 42.03±0.07 3.526±0.012 15.537±0.043
60173.58373 42.01±0.07 3.526±0.012 15.525±0.043
60190.53759 41.97±0.09 3.514±0.018 15.529±0.059
60191.53887 41.88±0.10 3.537±0.020 15.442±0.067
60192.53781 41.88±0.10 3.534±0.017 15.448±0.062
60193.54465 41.88±0.09 3.534±0.017 15.445±0.060
60195.56868 41.86±0.11 3.536±0.019 15.432±0.069
60201.52122 41.83±0.10 3.538±0.017 15.413±0.062
60221.49577 41.80±0.15 3.527±0.030 15.423±0.097
60274.95250 41.42±0.13 3.559±0.025 15.166±0.083
60282.94518 41.35±0.17 3.574±0.038 15.100±0.118
60307.87612 41.20±0.12 3.583±0.026 15.009±0.083
60312.95936 41.19±0.12 3.572±0.025 15.026±0.080
60313.96008 40.91±0.15 3.637±0.030 14.756±0.096
60314.93569 41.12±0.13 3.593±0.030 14.950±0.091
60320.96748 41.25±0.15 3.560±0.030 15.080±0.096
60324.96763 41.04±0.13 3.602±0.029 14.892±0.089
60331.95188 40.98±0.14 3.613±0.034 14.839±0.101
60337.95158 40.95±0.13 3.611±0.030 14.829±0.089
60354.93162 40.82±0.13 3.632±0.033 14.722±0.094
60364.93665 40.94±0.15 3.590±0.030 14.867±0.096
